country,year,deaths_total,ecommerce_sales_usd_millions,internet_usage_percent
Afghanistan,1989,5411.0,,
Afghanistan,1990,1514.0,,
Afghanistan,1991,3553.0,,
Afghanistan,1992,4385.0,,
Afghanistan,1993,4105.0,,
Afghanistan,1994,9056.0,,
Afghanistan,1995,5618.0,,
Afghanistan,1996,3595.0,,
Afghanistan,1997,6721.0,,
Afghanistan,1998,12174.0,,
Afghanistan,1999,5065.0,,
Afghanistan,2000,5394.0,,
Afghanistan,2001,5553.0,,
Afghanistan,2002,1157.0,,
Afghanistan,2003,944.0,,
Afghanistan,2004,817.0,,
Afghanistan,2005,1711.0,,
Afghanistan,2006,4982.0,,
Afghanistan,2007,7037.0,,
Afghanistan,2008,5661.0,,
Afghanistan,2009,6499.0,,
Afghanistan,2010,7151.0,,
Afghanistan,2011,7563.0,,
Afghanistan,2012,7783.0,,
Afghanistan,2013,8131.0,,
Afghanistan,2014,12549.0,,
Afghanistan,2015,18018.0,,
Afghanistan,2016,19025.0,,
Afghanistan,2017,19784.0,,
Afghanistan,2018,26895.0,,
Afghanistan,2019,30435.0,,
Afghanistan,2020,20834.0,,
Afghanistan,2021,36386.0,,
Afghanistan,2022,1574.0,,
Afghanistan,2023,360.0,,
Afghanistan,2024,353.0,,
Africa,2015,,,31.1
Africa,2015,,,19.4
Africa,2016,,,32.3
Africa,2016,,,20.9
Africa,2017,,,33.6
Africa,2018,,,35.7
Africa,2020,,,49.6
Africa,2021,,,50.6
Africa,2022,,,51.7
Africa,2023,,,54.7
Africa,2025,,,17.3
Albania,1999,26.0,,
Algeria,1990,1.0,,
Algeria,1991,34.0,,
Algeria,1992,274.0,,
Algeria,1993,826.0,,
Algeria,1994,1943.0,,
Algeria,1995,3059.0,,
Algeria,1996,1091.0,,
Algeria,1997,2008.0,,
Algeria,1998,3284.0,,
Algeria,1999,1168.0,,
Algeria,2000,1193.0,,
Algeria,2001,674.0,,
Algeria,2002,1058.0,,
Algeria,2003,714.0,,
Algeria,2004,500.0,,
Algeria,2005,232.0,,
Algeria,2006,292.0,,
Algeria,2007,495.0,,
Algeria,2008,345.0,,
Algeria,2009,541.0,,
Algeria,2010,252.0,,
Algeria,2011,276.0,,
Algeria,2012,264.0,,
Algeria,2013,222.0,,
Algeria,2014,111.0,,
Algeria,2015,110.0,,
Algeria,2016,89.0,,
Algeria,2017,77.0,,
Algeria,2018,35.0,,
Algeria,2019,15.0,,
Algeria,2020,28.0,,
Algeria,2021,18.0,,
Algeria,2022,14.0,,
Algeria,2023,1.0,,
Algeria,2024,3.0,,
Americas,2015,,,82.8
Americas,2015,,,72.5
Americas,2016,,,84.9
Americas,2016,,,75.0
Americas,2017,,,86.4
Americas,2018,,,88.1
Americas,2020,,,86.5
Americas,2021,,,88.2
Americas,2022,,,89.3
Americas,2023,,,90.9
Americas,2025,,,67.2
Angola,1989,2873.0,,
Angola,1990,2609.0,,
Angola,1991,516.0,,
Angola,1992,2352.0,,
Angola,1993,12398.0,,
Angola,1994,4009.0,,
Angola,1995,238.0,,
Angola,1996,32.0,,
Angola,1997,105.0,,
Angola,1998,1191.0,,
Angola,1999,2666.0,,
Angola,2000,1209.0,,
Angola,2001,2158.0,,
Angola,2002,579.0,,
Angola,2003,84.0,,
Angola,2004,38.0,,
Angola,2005,15.0,,
Angola,2006,3.0,,
Angola,2007,26.0,,
Angola,2008,4.0,,
Angola,2009,25.0,,
Angola,2010,10.0,,
Angola,2011,1.0,,
Angola,2013,2.0,,
Angola,2014,0.0,,
Angola,2015,1.0,,
Angola,2016,26.0,,
Angola,2017,26.0,,
Angola,2018,24.0,,
Angola,2019,26.0,,
Angola,2020,29.0,,
Angola,2021,13.0,,
Angola,2022,21.0,,
Angola,2023,0.0,,
Angola,2024,25.0,,
Arab States,2015,,,66.9
Arab States,2015,,,50.7
Arab States,2016,,,68.2
Arab States,2016,,,51.2
Arab States,2017,,,68.6
Arab States,2018,,,69.5
Arab States,2020,,,79.5
Arab States,2021,,,80.4
Arab States,2022,,,80.6
Arab States,2023,,,81.8
Arab States,2025,,,48.3
Argentina,1992,0.0,,
Argentina,1994,86.0,,
Armenia,1992,85.0,,
Armenia,1993,37.0,,
Armenia,1994,30.0,,
Armenia,1995,7.0,,
