country,year,deaths_total
Afghanistan,1989,5411
Afghanistan,1990,1514
Afghanistan,1991,3553
Afghanistan,1992,4385
Afghanistan,1993,4105
Afghanistan,1994,9056
Afghanistan,1995,5618
Afghanistan,1996,3595
Afghanistan,1997,6721
Afghanistan,1998,12174
Afghanistan,1999,5065
Afghanistan,2000,5394
Afghanistan,2001,5553
Afghanistan,2002,1157
Afghanistan,2003,944
Afghanistan,2004,817
Afghanistan,2005,1711
Afghanistan,2006,4982
Afghanistan,2007,7037
Afghanistan,2008,5661
Afghanistan,2009,6499
Afghanistan,2010,7151
Afghanistan,2011,7563
Afghanistan,2012,7783
Afghanistan,2013,8131
Afghanistan,2014,12549
Afghanistan,2015,18018
Afghanistan,2016,19025
Afghanistan,2017,19784
Afghanistan,2018,26895
Afghanistan,2019,30435
Afghanistan,2020,20834
Afghanistan,2021,36386
Afghanistan,2022,1574
Afghanistan,2023,360
Afghanistan,2024,353
Albania,1999,26
Algeria,1990,1
Algeria,1991,34
Algeria,1992,274
Algeria,1993,826
Algeria,1994,1943
Algeria,1995,3059
Algeria,1996,1091
Algeria,1997,2008
Algeria,1998,3284
Algeria,1999,1168
Algeria,2000,1193
Algeria,2001,674
Algeria,2002,1058
Algeria,2003,714
Algeria,2004,500
Algeria,2005,232
Algeria,2006,292
Algeria,2007,495
Algeria,2008,345
Algeria,2009,541
Algeria,2010,252
Algeria,2011,276
Algeria,2012,264
Algeria,2013,222
Algeria,2014,111
Algeria,2015,110
Algeria,2016,89
Algeria,2017,77
Algeria,2018,35
Algeria,2019,15
Algeria,2020,28
Algeria,2021,18
Algeria,2022,14
Algeria,2023,1
Algeria,2024,3
Angola,1989,2873
Angola,1990,2609
Angola,1991,516
Angola,1992,2352
Angola,1993,12398
Angola,1994,4009
Angola,1995,238
Angola,1996,32
Angola,1997,105
Angola,1998,1191
Angola,1999,2666
Angola,2000,1209
Angola,2001,2158
Angola,2002,579
Angola,2003,84
Angola,2004,38
Angola,2005,15
Angola,2006,3
Angola,2007,26
Angola,2008,4
Angola,2009,25
Angola,2010,10
Angola,2011,1
Angola,2013,2
Angola,2014,0
Angola,2015,1
Angola,2016,26
Angola,2017,26
Angola,2018,24
Angola,2019,26
Angola,2020,29
Angola,2021,13
Angola,2022,21
Angola,2023,0
Angola,2024,25
Argentina,1992,0
Argentina,1994,86
Armenia,1992,85
Armenia,1993,37
Armenia,1994,30
Armenia,1995,7
Armenia,2005,1
Armenia,2006,2
Armenia,2012,9
Armenia,2013,1
Armenia,2015,16
Armenia,2016,4
Armenia,2018,1
Armenia,2019,2
Armenia,2020,10
Armenia,2021,10
Armenia,2022,154
Armenia,2023,20
Australia,2018,2
Austria,2020,4
Azerbaijan,1991,35
Azerbaijan,1992,2856
Azerbaijan,1993,1194
Azerbaijan,1994,1489
Azerbaijan,1995,55
Azerbaijan,1996,5
Azerbaijan,1997,29
Azerbaijan,1998,34
Azerbaijan,1999,18
Azerbaijan,2000,13
Azerbaijan,2001,6
Azerbaijan,2004,8
Azerbaijan,2005,24
Azerbaijan,2006,5
Azerbaijan,2007,12
Azerbaijan,2008,30
Azerbaijan,2009,7
Azerbaijan,2010,20
Azerbaijan,2011,21
Azerbaijan,2012,16
Azerbaijan,2013,11
Azerbaijan,2014,46
Azerbaijan,2015,63
Azerbaijan,2016,137
Azerbaijan,2017,36
Azerbaijan,2018,16
Azerbaijan,2019,9
Azerbaijan,2020,7636
Azerbaijan,2021,30
Azerbaijan,2022,154
Azerbaijan,2023,442
Bahrain,2011,26
Bangladesh,1989,81
Bangladesh,1990,94
Bangladesh,1991,107
Bangladesh,1992,225
Bangladesh,1993,43
Bangladesh,1994,32
Bangladesh,1995,14
Bangladesh,1996,46
Bangladesh,1997,16
Bangladesh,1998,21
Bangladesh,1999,14
Bangladesh,2000,105
Bangladesh,2001,72
Bangladesh,2002,7
Bangladesh,2003,8
Bangladesh,2004,75
Bangladesh,2005,80
Bangladesh,2006,96
Bangladesh,2007,18
Bangladesh,2008,13
Bangladesh,2009,10
Bangladesh,2010,5
Bangladesh,2011,0
Bangladesh,2012,2
Bangladesh,2013,54
Bangladesh,2014,2
Bangladesh,2015,10
Bangladesh,2016,73
Bangladesh,2017,48
Bangladesh,2018,28
Bangladesh,2019,3
Bangladesh,2020,5
Bangladesh,2021,2
Bangladesh,2022,13
Bangladesh,2023,12
Bangladesh,2024,374
Belgium,2016,34
Belgium,2018,4
Belgium,2023,2
Benin,2019,1
Benin,2020,1
Benin,2021,11
Benin,2022,30
Benin,2023,46
Benin,2024,85
Bhutan,1997,4
Bhutan,2004,0
