country,year,ecommerce_sales_usd_millions
Australia,2012,245392.159
Australia,2013,237487.705
Australia,2014,240678.596
Australia,2015,428971.66
Australia,2016,477842.196
Australia,2017,604403.233
Austria,2016,2093963.097
Austria,2017,1660948.173
Austria,2018,2709261.525
Austria,2019,2620658.864
Austria,2020,2996524.352
Austria,2021,2932624.698
Austria,2022,2705608.246
Austria,2023,4444341.796
Bosnia and Herzegovina,2017,92975.718
Bosnia and Herzegovina,2018,143620.311
Bosnia and Herzegovina,2019,65518.866
Bosnia and Herzegovina,2020,90194.472
Bosnia and Herzegovina,2021,80887.431
Bosnia and Herzegovina,2022,104475.619
Bosnia and Herzegovina,2023,132026.734
Canada,2012,407050.583
Canada,2013,429337.888
Canada,2019,1426470.052
Canada,2021,2186067.061
Canada,2023,835780.262
China,2013,2156888.5130000003
China,2014,3135868.2630000003
China,2015,3667968.1339999996
China,2016,4036255.471
China,2017,4851439.294
China,2018,5827820.37
China,2019,6341279.464
China,2020,7118789.558999999
China,2021,9157557.341
China,2022,11543318.22
China,2023,13152543.864
"China, Hong Kong SAR",2012,146322.465
"China, Hong Kong SAR",2014,208732.473
"China, Hong Kong SAR",2016,234773.165
"China, Hong Kong SAR",2018,265876.762
"China, Hong Kong SAR",2020,302494.311
"China, Hong Kong SAR",2022,480963.427
Colombia,2018,47365.811
Colombia,2019,92611.101
Colombia,2020,90119.644
Croatia,2016,160671.644
Croatia,2017,159417.04200000002
Croatia,2018,175376.028
Croatia,2019,217265.769
Croatia,2020,294686.126
Croatia,2021,378487.679
Croatia,2022,318844.167
Croatia,2023,598500.3640000001
Czechia,2016,2939345.354
Czechia,2017,2778782.68
Czechia,2018,3561689.142
Czechia,2019,3277059.367
Czechia,2020,3440254.416
Czechia,2021,3811880.443
Czechia,2022,4924112.465
Czechia,2023,4043127.154
Denmark,2016,1692074.678
Denmark,2017,3424001.553
Denmark,2018,3035029.847
Denmark,2019,3095464.3
Denmark,2020,3367593.389
Denmark,2021,2740911.944
Denmark,2022,4185862.947
Denmark,2023,4735549.036
Estonia,2016,204165.068
Estonia,2017,183201.052
Estonia,2018,185495.122
Estonia,2019,172032.819
